"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Similarity Match","No. Near Duplicates","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://sanatkaravani.com/buyulu-gercekligin-pesinde-bir-yazar-mo-yan/","1030","214","4,813","34,885","Hard","","","","","","tr","64047dbf542b36dba5ef5d443fc1521f","Indexable",""
"https://sanatkaravani.com/category/edebiyat/","424","108","3,926","51,807","Fairly Hard","","","","","","tr","ed5c0df65c1e71e0d52780053ce77a60","Indexable",""
"https://sanatkaravani.com/zebercet-ya-da-modern-dekadansin-oykusu/","694","160","4,338","21,530","Very Hard","","","","","","tr","34bc52c6c5477b195c4ab9a1531f06f1","Indexable",""
"https://sanatkaravani.com/yalnizlik-varolussaldir-peyami-safa/","734","184","3,989","43,729","Hard","","","","","","tr","d64d858304abe883b7e9dbb8314f3687","Indexable",""
"https://sanatkaravani.com/alternatif-bagimsiz-sarki-listesi/","800","174","4,598","69,769","Normal","","","","","","tr","ce126fc67f8c189ede7337364b62fd39","Indexable",""
"https://sanatkaravani.com/modern-dunyada-vampir-olmak-yalniz-asiklar-hayatta-kalir/","1087","205","5,302","27,817","Very Hard","","","","","","tr","7600599c1cf4b1e24cff913630246b6f","Indexable",""
"https://sanatkaravani.com/author/lidya/","278","82","3,390","51,236","Fairly Hard","","","","","","tr","4066dde9d6f7bd36b1d925a5bd1b73e8","Indexable",""
"https://sanatkaravani.com/author/sevilates/","302","81","3,728","61,024","Normal","","","","","","tr","70f8737386ac18b6be180efb2df3ab5a","Indexable",""
"https://sanatkaravani.com/category/seyahat/","430","111","3,874","44,917","Hard","","","","","","tr","db001c48fb5928dcfce720095a054aac","Indexable",""
"https://sanatkaravani.com/savasin-ve-yikimlarin-ortasinda-bir-fotografci-dmitri-kessel/","436","112","3,893","22,430","Very Hard","","","","","","tr","f87801c47ca9081d1943e3f2e351d354","Indexable",""
"https://sanatkaravani.com/yazarlik-basvurusu/","66","19","3,474","31,546","Hard","","","","","","tr","e9c9eece19769b59133a5bde610dec01","Indexable",""
