"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://sanatkaravani.com/","1","Indexable","","https://sanatkaravani.com/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/category/mimari/","1","Indexable","","https://sanatkaravani.com/category/mimari/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/category/mimari/page/2/","","",""
"https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","1","Indexable","","https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","1","Indexable","","https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","1","Indexable","","https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","1","Indexable","","https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","1","Indexable","","https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/author/admin/","1","Indexable","","https://sanatkaravani.com/author/admin/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","1","Indexable","","https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","1","Indexable","","https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","1","Indexable","","https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/","1","Indexable","","https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/category/liste/","1","Indexable","","https://sanatkaravani.com/category/liste/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/category/liste/page/2/","","",""
"https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/","1","Indexable","","https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/iletisim/","1","Indexable","","https://sanatkaravani.com/iletisim/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","1","Indexable","","https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/yazarlarimiz/","1","Indexable","","https://sanatkaravani.com/yazarlarimiz/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/category/sinema/","1","Indexable","","https://sanatkaravani.com/category/sinema/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/category/sinema/page/2/","","",""
"https://sanatkaravani.com/hakkimizda/","1","Indexable","","https://sanatkaravani.com/hakkimizda/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://sanatkaravani.com/category/fotograf/","1","Indexable","","https://sanatkaravani.com/category/fotograf/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/category/fotograf/page/2/","","",""
