"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://sanatkaravani.com/tag/canim-aliye-ruhum-filiz/","200","OK","110","0","","","canım aliye ruhum filiz arşivleri - Sanat Karavanı","","canım aliye ruhum filiz","","","","https://sanatkaravani.com/tag/canim-aliye-ruhum-filiz/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/canim-aliye-ruhum-filiz/","https://sanatkaravani.com/tag/canim-aliye-ruhum-filiz/","","","","",""
"https://sanatkaravani.com/tag/sabahattain-al/","200","OK","108","0","","","sabahattain Al arşivleri - Sanat Karavanı","","sabahattain Al","","","","https://sanatkaravani.com/tag/sabahattain-al/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/sabahattain-al/","https://sanatkaravani.com/tag/sabahattain-al/","","","","",""
"https://sanatkaravani.com/tag/japon-sanatci/","200","OK","103","0","","","japon sanatçı arşivleri - Sanat Karavanı","","japon sanatçı","","","","https://sanatkaravani.com/tag/japon-sanatci/","","1","0","15","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/japon-sanatci/","https://sanatkaravani.com/tag/japon-sanatci/","","","","",""
"https://sanatkaravani.com/tag/puantiye/","200","OK","102","0","","","puantiye arşivleri - Sanat Karavanı","","puantiye","","","","https://sanatkaravani.com/tag/puantiye/","","1","0","15","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/puantiye/","https://sanatkaravani.com/tag/puantiye/","","","","",""
"https://sanatkaravani.com/tag/yayoi-kusama/","200","OK","103","0","","","yayoi kusama arşivleri - Sanat Karavanı","","yayoi kusama","","","","https://sanatkaravani.com/tag/yayoi-kusama/","","1","0","15","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/yayoi-kusama/","https://sanatkaravani.com/tag/yayoi-kusama/","","","","",""
"https://sanatkaravani.com/tag/ilhami-cicek/","200","OK","102","0","","","ilhami Çiçek arşivleri - Sanat Karavanı","","ilhami Çiçek","","","","https://sanatkaravani.com/tag/ilhami-cicek/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/ilhami-cicek/","https://sanatkaravani.com/tag/ilhami-cicek/","","","","",""
"https://sanatkaravani.com/tag/i-love-ny/","200","OK","102","0","","","I love ny arşivleri - Sanat Karavanı","","I love ny","","","","https://sanatkaravani.com/tag/i-love-ny/","","1","0","15","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/i-love-ny/","https://sanatkaravani.com/tag/i-love-ny/","","","","",""
"https://sanatkaravani.com/tag/yalniz-kadinlar-arasinda/","200","OK","104","0","","","yalnız kadınlar arasında arşivleri - Sanat Karavanı","","yalnız kadınlar arasında","","","","https://sanatkaravani.com/tag/yalniz-kadinlar-arasinda/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/yalniz-kadinlar-arasinda/","https://sanatkaravani.com/tag/yalniz-kadinlar-arasinda/","","","","",""
"https://sanatkaravani.com/tag/cesare-pavese/","200","OK","103","0","","","Cesare Pavese arşivleri - Sanat Karavanı","","Cesare Pavese","","","","https://sanatkaravani.com/tag/cesare-pavese/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/cesare-pavese/","https://sanatkaravani.com/tag/cesare-pavese/","","","","",""
"https://sanatkaravani.com/tag/derde-deva-randevu/","200","OK","103","0","","","derde deva randevu arşivleri - Sanat Karavanı","","derde deva randevu","","","","https://sanatkaravani.com/tag/derde-deva-randevu/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/derde-deva-randevu/","https://sanatkaravani.com/tag/derde-deva-randevu/","","","","",""
