"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.sanatkaravani.com/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","30","","https://www.sanatkaravani.com/"
"https://sanatkaravani.com/","text/html; charset=UTF-8","200","OK","Indexable","","e76cfb8157a493d2a03816e3309d2987","26","https://sanatkaravani.com/","https://sanatkaravani.com/"
"https://sanatkaravani.com/wp-content/uploads/2022/01/emil-otto-hoppe-unveiling-a-secret-06-min-20x16.jpg","image/jpeg","200","OK","Indexable","","","104","","https://sanatkaravani.com/wp-content/uploads/2022/01/emil-otto-hoppe-unveiling-a-secret-06-min-20x16.jpg"
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min.js?ver=9.8.1","text/javascript","200","OK","Indexable","","","109","","https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min.js?ver=9.8.1"
"https://sanatkaravani.com/category/mimari/","text/html; charset=UTF-8","200","OK","Indexable","","50bb2fc72661fb5f06fd650b8f506b4e","42","https://sanatkaravani.com/category/mimari/","https://sanatkaravani.com/category/mimari/"
"https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","text/html; charset=UTF-8","200","OK","Indexable","","99702dbfbfe0d358a5da0fe9c62851fa","65","https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/"
"https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","text/html; charset=UTF-8","200","OK","Indexable","","a282b598dff9cbf3bf89b20720f67355","63","https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/"
"https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","text/html; charset=UTF-8","200","OK","Indexable","","bd3a879aadd7962bb41b25ec15543bb7","57","https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/"
"https://sanatkaravani.com/wp-content/uploads/2021/07/ALPER-GITAR-sanat-karavani-ALPER-TUZCU-20x16.jpg","image/jpeg","200","OK","Indexable","","","101","","https://sanatkaravani.com/wp-content/uploads/2021/07/ALPER-GITAR-sanat-karavani-ALPER-TUZCU-20x16.jpg"
"https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","text/html; charset=UTF-8","200","OK","Indexable","","9e8e0c3544d639c99118fa6da59dba21","56","https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/"
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.8.1","text/javascript","200","OK","Indexable","","","104","","https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.8.1"
"https://sanatkaravani.com/wp-content/uploads/2022/02/c056648c-61b2-448e-bca0-2b3e3127d859_387441_TABLET_LANDSCAPE_LARGE_16_9-1-20x16.jpg","image/jpeg","200","OK","Indexable","","","136","","https://sanatkaravani.com/wp-content/uploads/2022/02/c056648c-61b2-448e-bca0-2b3e3127d859_387441_TABLET_LANDSCAPE_LARGE_16_9-1-20x16.jpg"
"https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","text/html; charset=UTF-8","200","OK","Indexable","","234f6399b98044d39b7065132d96b40f","92","https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/"
"https://sanatkaravani.com/wp-content/uploads/2021/11/moyan-20x16.jpg","image/jpeg","200","OK","Indexable","","","68","","https://sanatkaravani.com/wp-content/uploads/2021/11/moyan-20x16.jpg"
"https://sanatkaravani.com/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=6.11.0","text/javascript","200","OK","Indexable","","","107","","https://sanatkaravani.com/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=6.11.0"
"https://sanatkaravani.com/wp-content/uploads/2022/04/Gece-Yarisi-Kutuphanesi-1-20x12.jpg","image/jpeg","200","OK","Indexable","","","88","","https://sanatkaravani.com/wp-content/uploads/2022/04/Gece-Yarisi-Kutuphanesi-1-20x12.jpg"
"https://sanatkaravani.com/author/admin/","text/html; charset=UTF-8","200","OK","Indexable","","90c850450dda7fc85cfd39bf00d463a1","39","https://sanatkaravani.com/author/admin/","https://sanatkaravani.com/author/admin/"
"https://sanatkaravani.com/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.min.js?ver=3.18.0","text/javascript","200","OK","Indexable","","","103","","https://sanatkaravani.com/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.min.js?ver=3.18.0"
"https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","text/html; charset=UTF-8","200","OK","Indexable","","c21ed516350c2eabd7870dc92f28ec1d","58","https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/"
"https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","text/html; charset=UTF-8","200","OK","Indexable","","6524c7d0bb4e1a241ed73cecdbc6270e","96","https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/"
"https://sanatkaravani.com/wp-content/uploads/2022/04/Gece-Yarisi-Kutuphanesi-1-20x20.jpg","image/jpeg","200","OK","Indexable","","","88","","https://sanatkaravani.com/wp-content/uploads/2022/04/Gece-Yarisi-Kutuphanesi-1-20x20.jpg"
"https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","text/html; charset=UTF-8","200","OK","Indexable","","4227e044dbd5619a74bdf8ce9211439f","67","https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/"
"https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/","text/html; charset=UTF-8","200","OK","Indexable","","aa3201671bec7bb30d542c86f24fabb1","87","https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/","https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/"
"https://sanatkaravani.com/category/liste/","text/html; charset=UTF-8","200","OK","Indexable","","89b4a8c33a5306b87aa5cc0710fc4bc9","41","https://sanatkaravani.com/category/liste/","https://sanatkaravani.com/category/liste/"
"https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/","text/html; charset=UTF-8","200","OK","Indexable","","747555aa337641f0e082b044fb8a448c","61","https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/","https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/"
"https://sanatkaravani.com/wp-content/themes/theissue/style.css?ver=1.6.9","text/css","200","OK","Indexable","","","72","","https://sanatkaravani.com/wp-content/themes/theissue/style.css?ver=1.6.9"
"https://sanatkaravani.com/wp-content/uploads/2021/07/dream-theater1-20x16.jpg","image/jpeg","200","OK","Indexable","","","77","","https://sanatkaravani.com/wp-content/uploads/2021/07/dream-theater1-20x16.jpg"
"https://sanatkaravani.com/wp-content/uploads/2022/03/unnamed-min-1-20x12.jpg","image/jpeg","200","OK","Indexable","","","76","","https://sanatkaravani.com/wp-content/uploads/2022/03/unnamed-min-1-20x12.jpg"
"https://sanatkaravani.com/iletisim/","text/html; charset=UTF-8","200","OK","Indexable","","b3973f250904b9be9cc64d88b12011b3","35","https://sanatkaravani.com/iletisim/","https://sanatkaravani.com/iletisim/"
"https://sanatkaravani.com/wp-content/uploads/2021/12/28339-min-20x16.jpg","image/jpeg","200","OK","Indexable","","","72","","https://sanatkaravani.com/wp-content/uploads/2021/12/28339-min-20x16.jpg"
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.8.1","text/javascript","200","OK","Indexable","","","122","","https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.8.1"
"https://sanatkaravani.com/wp-content/themes/theissue/assets/js/vendor.min.js?ver=1.6.9","text/javascript","200","OK","Indexable","","","86","","https://sanatkaravani.com/wp-content/themes/theissue/assets/js/vendor.min.js?ver=1.6.9"
"https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","text/html; charset=UTF-8","200","OK","Indexable","","8d310be101486366f46d07fd82d697b2","66","https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/"
"https://sanatkaravani.com/yazarlarimiz/","text/html; charset=UTF-8","200","OK","Indexable","","e611c544b8a298fe1b83d50fe802ea11","39","https://sanatkaravani.com/yazarlarimiz/","https://sanatkaravani.com/yazarlarimiz/"
"https://sanatkaravani.com/wp-content/uploads/2022/02/peyami-safanin-hayati-620x375-1-20x16.jpg","image/jpeg","200","OK","Indexable","","","94","","https://sanatkaravani.com/wp-content/uploads/2022/02/peyami-safanin-hayati-620x375-1-20x16.jpg"
