"Address","Indexability","Indexability Status","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://sanatkaravani.com/","Indexable","","","","","","https://sanatkaravani.com/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/category/mimari/","Indexable","","https://sanatkaravani.com/category/mimari/page/2/","","","","https://sanatkaravani.com/category/mimari/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","Indexable","","","","","","https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","Indexable","","","","","","https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","Indexable","","","","","","https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","Indexable","","","","","","https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","Indexable","","","","","","https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/author/admin/","Indexable","","","","","","https://sanatkaravani.com/author/admin/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","Indexable","","","","","","https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","Indexable","","","","","","https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
