"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.sanatkaravani.com/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected"
"https://sanatkaravani.com/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/mimari/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/admin/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/liste/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/iletisim/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/mimar-sinan-ve-gunumuz-istanbul-silueti/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/yazarlarimiz/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/sinema/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/hakkimizda/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/fotograf/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/resim/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/gundem/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/genel/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/muzik/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/ahuakkaya/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/heykel/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/2021-siena-uluslararasi-fotograf-yarismasi-kazananlari/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/geride-kalanlarin-yolculugu-drive-my-car/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/figencelebi/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/yasama-istegi-uzerine-matt-haig/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/70ler-80ler-ve-90larin-populer-yabanci-sarkilari/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/kubragaburga/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/italyan-yeni-gercekciliginde-bir-fotografci-mario-de-biasi/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/gonul-ehli-bir-grunger-dervis-eddie-vedder/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/aylinasar/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/humanist-fotografciligin-yaratici-kadini-sabine-weiss/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/buyulu-gercekligin-pesinde-bir-yazar-mo-yan/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/category/edebiyat/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/zebercet-ya-da-modern-dekadansin-oykusu/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/yalnizlik-varolussaldir-peyami-safa/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/alternatif-bagimsiz-sarki-listesi/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/modern-dunyada-vampir-olmak-yalniz-asiklar-hayatta-kalir/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/lidya/","text/html; charset=UTF-8","200","OK","Indexable",""
"https://sanatkaravani.com/author/sevilates/","text/html; charset=UTF-8","200","OK","Indexable",""
