"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://sanatkaravani.com/","text/html; charset=UTF-8","200","OK","Indexable","","Anasayfa - Sanat Karavanı","25","235","","0","0","","0","","0","EDEBİYAT","8","MÜZİK","5","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/","","","","","","185102","27216","27216","9,648","","969","262","3,698","56,930","Fairly Hard","3,871","1","0","","7489","1532","0","100,000","174","47","0","97","77","0","","","","","e76cfb8157a493d2a03816e3309d2987","0,077","","","","","tr","1.1","","https://sanatkaravani.com/","2025-04-10 15:56:30"
"https://sanatkaravani.com/1800lerin-yoksullugunda-new-yorka-bakmak-jacob-riis/","text/html; charset=UTF-8","200","OK","Indexable","","1800’lerin Yoksulluğunda New York’a Bakmak / Jacob Riis - Sanat Karavanı","72","666","","0","0","","0","1800’lerin Yoksulluğunda New York’a Bakmak / Jacob Riis","55","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/1800lerin-yoksullugunda-new-yorka-bakmak-jacob-riis/","","","","","","317389","33856","33856","12,002","","825","254","3,248","32,698","Hard","2,973","5","1","","15","8","0","0,520","60","27","0","22","9","0","","","","","a29e03f23978035b3b13b6f01a564f0e","0,716","","","","","tr","1.1","","https://sanatkaravani.com/1800lerin-yoksullugunda-new-yorka-bakmak-jacob-riis/","2025-04-10 15:59:31"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/","text/html; charset=UTF-8","200","OK","Indexable","","1900’lerin Hayal Gücünden 2000’lere Yolculuk - Sanat Karavanı","61","554","","0","0","","0","1900’lerin Hayal Gücünden 2000’lere Yolculuk","44","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/","","","","","","122279","26010","26010","9,221","","471","119","3,958","32,001","Hard","3,436","4","1","","19","10","0","0,650","71","38","0","22","9","0","","","","","33c81a30916839adc397965a95d1c17a","0,059","","","","","tr","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/","2025-04-10 15:57:15"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-14-6/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,290","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-14-5.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-14-6/","2025-04-10 16:00:24"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-15-6/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,288","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-15-5.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-15-6/","2025-04-10 15:58:40"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-18-4/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,288","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-18-3.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-18-4/","2025-04-10 15:58:40"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-19-4/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,318","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-19-3.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-19-4/","2025-04-10 15:58:40"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-20-4/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,290","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-20-3.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-20-4/","2025-04-10 15:58:40"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-21-3/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,285","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-21-2.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-21-3/","2025-04-10 15:58:41"
"https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-22-3/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","5","2","","1","1","0","0,070","0","0","0","0","0","0","","","","","","0,286","","https://sanatkaravani.com/wp-content/uploads/2021/07/unnamed-22-2.jpg","HTTP Redirect","","","1.1","","https://sanatkaravani.com/1900lerin-hayal-gucunden-2000lere-yolculuk/unnamed-22-3/","2025-04-10 15:58:40"
