"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://sanatkaravani.com/modern-dunyada-vampir-olmak-yalniz-asiklar-hayatta-kalir/","1","Modern Dünyada Vampir Olmak: Yalnız Aşıklar Hayatta Kalır - Sanat Karavanı","74","682","Indexable",""
"https://sanatkaravani.com/author/lidya/","1","Lidya Durmazgüler, Sanat Karavanı sitesinin yazarı","50","446","Indexable",""
"https://sanatkaravani.com/author/sevilates/","1","Sevil Ateş, Sanat Karavanı sitesinin yazarı","43","367","Indexable",""
"https://sanatkaravani.com/category/seyahat/","1","Seyahat arşivleri - Sanat Karavanı","34","296","Indexable",""
"https://sanatkaravani.com/savasin-ve-yikimlarin-ortasinda-bir-fotografci-dmitri-kessel/","1","Savaşın ve Yıkımların Ortasında Bir Fotoğrafçı / Dmitri Kessel - Sanat Karavanı","79","689","Indexable",""
"https://sanatkaravani.com/yazarlik-basvurusu/","1","Yazarlık Başvurusu - Sanat Karavanı","35","320","Indexable",""
"https://sanatkaravani.com/dogu-asyanin-ilginc-mimarisi-bilim-cagi-guangzhou/","1","Doğu Asya’nın İlginç Mimarisi: Bilim Çağı Guangzhou - Sanat Karavanı","68","618","Indexable",""
"https://sanatkaravani.com/bir-ortacag-kilisesi-bernardine/","1","Bir Ortaçağ Kilisesi: Bernardine - Sanat Karavanı","49","423","Indexable",""
"https://sanatkaravani.com/thomas-jorionun-gozunden-terk-edilmis-saraylar/","1","Thomas Jorion'un Gözünden Terk Edilmiş Saraylar - Sanat Karavanı","64","596","Indexable",""
"https://sanatkaravani.com/category/mimari/page/2/","1","mimari arşivleri - Sayfa 2 / 2 - Sanat Karavanı","47","398","Indexable",""
"https://sanatkaravani.com/avrupanin-en-bilinen-15-kilisesi/","1","Avrupa’nın En Bilinen 15 Kilisesi! - Sanat Karavanı","51","436","Indexable",""
"https://sanatkaravani.com/author/utkukahraman/","1","Ömer Utku Kahraman, Sanat Karavanı sitesinin yazarı","51","472","Indexable",""
"https://sanatkaravani.com/eyfel-kulesini-satan-bir-dolandirici-victor-lustig/","1","Eyfel Kulesi’ni Satan Bir Dolandırıcı: Victor Lustig - Sanat Karavanı","69","578","Indexable",""
"https://sanatkaravani.com/etiyopyanin-kudusu-lalibela-kaya-oyma-kiliseleri/","1","Etiyopya’nın Kudüs’ü: Lalibela Kaya-Oyma Kiliseleri - Sanat Karavanı","68","598","Indexable",""
"https://sanatkaravani.com/category/yasam/","1","Yaşam arşivleri - Sanat Karavanı","32","286","Indexable",""
"https://sanatkaravani.com/author/oykumkutuk/","1","Öyküm Kütük, Sanat Karavanı sitesinin yazarı","44","400","Indexable",""
"https://sanatkaravani.com/gecmisten-gunumuze-sanat-akimlari/","1","Geçmişten Günümüze Sanat Akımları - Sanat Karavanı","50","481","Indexable",""
"https://sanatkaravani.com/author/seymaizler/","1","Şeyma İzler, Sanat Karavanı sitesinin yazarı","44","383","Indexable",""
"https://sanatkaravani.com/oyle-olmak-mi-oyle-gozukmek-mi-berlin-katedrali/","1","Öyle Olmak mı Öyle Gözükmek mi?: Berlin Katedrali - Sanat Karavanı","66","602","Indexable",""
"https://sanatkaravani.com/kadimlerin-sistine-sapeli-amazonun-uyur-guzeli/","1","Kadimlerin Sistine Şapeli: Amazon’un Uyur Güzeli - Sanat Karavanı","65","583","Indexable",""
"https://sanatkaravani.com/tag/sanat-karavani/","1","sanat karavanı arşivleri - Sanat Karavanı","41","355","Indexable",""
"https://sanatkaravani.com/tag/fotograf/","1","fotoğraf arşivleri - Sanat Karavanı","35","296","Indexable",""
"https://sanatkaravani.com/tag/ferdinando-scianna/","1","Ferdinando Scianna arşivleri - Sanat Karavanı","45","401","Indexable",""
"https://sanatkaravani.com/tag/sanat/","1","sanat arşivleri - Sanat Karavanı","32","274","Indexable",""
"https://sanatkaravani.com/tag/another-round/","1","Another Round arşivleri - Sanat Karavanı","40","355","Indexable",""
"https://sanatkaravani.com/tag/korkutuk/","1","körkütük arşivleri - Sanat Karavanı","35","302","Indexable",""
"https://sanatkaravani.com/tag/film/","1","film arşivleri - Sanat Karavanı","31","258","Indexable",""
"https://sanatkaravani.com/tag/muzik/","1","MÜZİK arşivleri - Sanat Karavanı","32","285","Indexable",""
"https://sanatkaravani.com/tag/anna-maria-van-giersbergen/","1","Anna Maria van Giersbergen arşivleri - Sanat Karavanı","53","474","Indexable",""
"https://sanatkaravani.com/tag/anneke/","1","Anneke arşivleri - Sanat Karavanı","33","290","Indexable",""
"https://sanatkaravani.com/yil-biterken-2021-enleri/","1","Yıl Biterken: 2021 Enleri! - Sanat Karavanı","43","362","Indexable",""
"https://sanatkaravani.com/tag/edebiyat/","1","edebiyat arşivleri - Sanat Karavanı","35","299","Indexable",""
"https://sanatkaravani.com/tag/alper-tuzcu/","1","Alper Tuzcu arşivleri - Sanat Karavanı","38","329","Indexable",""
"https://sanatkaravani.com/fotograflar-her-seyi-eskitir-robert-frank/","1","Fotoğraflar Her Şeyi Eskitir /Robert Frank - Sanat Karavanı","59","511","Indexable",""
"https://sanatkaravani.com/tag/louis-aragon/","1","Louis Aragon arşivleri - Sanat Karavanı","39","341","Indexable",""
"https://sanatkaravani.com/netflix-turkiye-ekim-2021-takvimi/","1","Netflix Türkiye Ekim 2021 Takvimi - Sanat Karavanı","50","451","Indexable",""
"https://sanatkaravani.com/bir-intikam-hikayesi-alef/","1","Bir İntikam Hikayesi: Alef - Sanat Karavanı","43","372","Indexable",""
"https://sanatkaravani.com/category/dizi/","1","Dizi arşivleri - Sanat Karavanı","31","256","Indexable",""
"https://sanatkaravani.com/2021-drone-fotograf-yarismasindan-odullu-kareler/","1","2021 Drone Fotoğraf Yarışmasından Ödüllü Kareler! - Sanat Karavanı","66","605","Indexable",""
"https://sanatkaravani.com/tag/jean-rhys/","1","jean rhys arşivleri - Sanat Karavanı","36","304","Indexable",""
"https://sanatkaravani.com/tag/emil-otto-hoppe/","1","Emil Otto Hoppé arşivleri - Sanat Karavanı","42","368","Indexable",""
"https://sanatkaravani.com/hayata-tutunmaya-calisanlarin-sesi-ken-loach/","1","Hayata Tutunmaya Çalışanların Sesi: Ken Loach - Sanat Karavanı","62","576","Indexable",""
"https://sanatkaravani.com/tag/dream-theather/","1","dream theather arşivleri - Sanat Karavanı","41","359","Indexable",""
"https://sanatkaravani.com/tag/space-dye-vest/","1","space-dye vest arşivleri - Sanat Karavanı","41","356","Indexable",""
"https://sanatkaravani.com/beni-olmak-acisiyla-yalniz-birak-sohrab-sepehri/","1","“Beni, Olmak Acısıyla Yalnız Bırak” Sohrab Sepehri - Sanat Karavanı","67","592","Indexable",""
"https://sanatkaravani.com/tag/scenes-from-a-memory/","1","scenes from a memory arşivleri - Sanat Karavanı","47","428","Indexable",""
"https://sanatkaravani.com/tag/genis-genis-bir-deniz/","1","geniş geniş bir deniz arşivleri - Sanat Karavanı","48","404","Indexable",""
"https://sanatkaravani.com/tag/cigdem-aslan/","1","çiğdem aslan arşivleri - Sanat Karavanı","39","343","Indexable",""
"https://sanatkaravani.com/tam-70-yil-oldu-yilan-hala-olmedi-yasar-kemal-yilani-oldurseler/","1","Tam 70 Yıl Oldu Yılan Hala Ölmedi! Yaşar Kemal / Yılanı Öldürseler - Sanat Karavanı","83","736","Indexable",""
"https://sanatkaravani.com/dunyanin-gunumuzdeki-en-unlu-20-lokasyonu/","1","Dünyanın Günümüzdeki En Ünlü 20 Lokasyonu! - Sanat Karavanı","59","566","Indexable",""
"https://sanatkaravani.com/tag/progresif-rock/","1","progresif rock arşivleri - Sanat Karavanı","41","346","Indexable",""
"https://sanatkaravani.com/izlemeye-doyamadigimiz-30-cnbc-e-dizisi/","1","İzlemeye Doyamadığımız 30 CNBC-e Dizisi! - Sanat Karavanı","57","529","Indexable",""
"https://sanatkaravani.com/category/liste/page/2/","1","Liste arşivleri - Sayfa 2 / 3 - Sanat Karavanı","46","378","Indexable",""
"https://sanatkaravani.com/italyanin-az-bilinen-7-sahil-kasabasi/","1","İtalya’nın Az Bilinen 7 Sahil Kasabası - Sanat Karavanı","55","475","Indexable",""
"https://sanatkaravani.com/izlemeniz-gereken-10-bilim-kurgu-dizisi/","1","İzlemeniz Gereken En İyi 10 Bilim Kurgu Dizisi! - Sanat Karavanı","64","555","Indexable",""
"https://sanatkaravani.com/tarihe-damga-vurmus-en-unlu-20-heykel/","1","Tarihe Damga Vurmuş En Ünlü 20 Heykel! - Sanat Karavanı","55","518","Indexable",""
"https://sanatkaravani.com/tum-zamanlarin-en-unlu-20-ressami-ve-populer-tablolari/","1","Tüm Zamanların En Ünlü 20 Ressamı ve Popüler Tabloları! - Sanat Karavanı","72","663","Indexable",""
"https://sanatkaravani.com/gecmisten-gunumuze-efsanevi-yonetmenler-ve-filmleri/","1","Geçmişten Günümüze Efsanevi Yönetmenler ve Filmleri! - Sanat Karavanı","69","643","Indexable",""
"https://sanatkaravani.com/category/liste/page/3/","1","Liste arşivleri - Sayfa 3 / 3 - Sanat Karavanı","46","378","Indexable",""
"https://sanatkaravani.com/tag/papa-emeritus/","1","papa emeritus arşivleri - Sanat Karavanı","40","351","Indexable",""
"https://sanatkaravani.com/tag/ghost-band/","1","ghost band arşivleri - Sanat Karavanı","37","324","Indexable",""
"https://sanatkaravani.com/evreni-anlamaniza-yardimci-olacak-25-populer-bilim-kitabi/","1","Evreni Anlamanıza Yardımcı Olacak 25 Popüler Bilim Kitabı! - Sanat Karavanı","75","674","Indexable",""
"https://sanatkaravani.com/tag/mimar-sinan/","1","mimar sinan arşivleri - Sanat Karavanı","38","335","Indexable",""
"https://sanatkaravani.com/tag/istanbul/","1","istanbul arşivleri - Sanat Karavanı","35","295","Indexable",""
"https://sanatkaravani.com/category/bilim/","1","Bilim arşivleri - Sanat Karavanı","32","269","Indexable",""
"https://sanatkaravani.com/author/janberkatici/","1","Janberk Atıcı, Sanat Karavanı sitesinin yazarı","46","397","Indexable",""
"https://sanatkaravani.com/author/safakgulpinar/","1","Şafak Gülpınar, Sanat Karavanı sitesinin yazarı","47","412","Indexable",""
"https://sanatkaravani.com/author/alikaptan/","1","Ali Kaptan, Sanat Karavanı sitesinin yazarı","43","372","Non-Indexable","noindex"
"https://sanatkaravani.com/author/pinardemir/","1","Pınar Demir, Sanat Karavanı sitesinin yazarı","44","384","Indexable",""
"https://sanatkaravani.com/author/soykankomurcu/","1","Soykan Kömürcü, Sanat Karavanı sitesinin yazarı","47","432","Non-Indexable","noindex"
"https://sanatkaravani.com/author/aslihanyildiz/","1","Aslıhan Yıldız, Sanat Karavanı sitesinin yazarı","47","399","Indexable",""
"https://sanatkaravani.com/var-olmak-dayanilmaz-bir-agirliktir-kefernahum/","1","Var Olmak Dayanılmaz Bir Ağırlıktır: Kefernahum - Sanat Karavanı","64","578","Indexable",""
"https://sanatkaravani.com/author/haticeuzunoglu/","1","Hatice Uzunoğlu, Sanat Karavanı sitesinin yazarı","48","426","Indexable",""
"https://sanatkaravani.com/ulasilamayacak-bir-hayalin-pesinden-kosmak-david-lynch/","1","Ulaşılamayacak Bir Hayalin Peşinden Koşmak / David Lynch - Sanat Karavanı","73","683","Indexable",""
"https://sanatkaravani.com/olum-huzura-giden-yoldur-the-fountain-kaynak/","1","Ölüm Huzura Giden Yoldur / The Fountain (Kaynak) - Sanat Karavanı","65","604","Indexable",""
"https://sanatkaravani.com/var-olmanin-mutsuzlugu-uzerine-bir-film-sonsuzluk-uzerine/","1","Var Olmanın Mutsuzluğu Üzerine Bir Film / Sonsuzluk Üzerine - Sanat Karavanı","76","692","Indexable",""
"https://sanatkaravani.com/filme-gitmeden-once-dune-evreni/","1","Filme Gitmeden Önce: ""Dune"" Evreni - Sanat Karavanı","51","466","Indexable",""
"https://sanatkaravani.com/isigin-getirdigi-olum-the-lighthouse/","1","Işığın Getirdiği Ölüm: The Lighthouse - Sanat Karavanı","54","475","Indexable",""
"https://sanatkaravani.com/category/fotograf/page/14/","1","Fotoğraf arşivleri - Sayfa 14 / 14 - Sanat Karavanı","51","434","Indexable",""
"https://sanatkaravani.com/toplumsal-bellegi-aciga-cikarmak-patrick-zahmann/","1","Toplumsal Belleği Açığa Çıkarmak / Patrick Zahmann - Sanat Karavanı","67","624","Indexable",""
"https://sanatkaravani.com/__trashed-3/","1","Geleneksel Yapıyı Yıkan Bir Fotoğrafçı / Vitas Luckus - Sanat Karavanı","70","617","Indexable",""
"https://sanatkaravani.com/category/sinema/page/2/","1","Sinema arşivleri - Sayfa 2 / 5 - Sanat Karavanı","47","402","Indexable",""
